jobTitle,categoriesName,locations,employment,salaryMin,salaryMax,salary_mid,main_category,main_location,salaryMin_scaled,salaryMax_scaled,salary_mid_scaled
SALES REPRESENTATIVE,"Penjualan / Pemasaran,Penjualan Ritel","Jakarta Barat,Tangerang,Serang",Full-time,4200000.0,4500000.0,4350000.0,Penjualan / Pemasaran,Jakarta Barat,0.057894736842105256,0.0501043841336117,0.053550640279394636
TEKNISI TUNE UP DAN AC (BENGKEL MOBIL),"Teknik,Mekanikal","Jakarta Raya,Bekasi,Depok,Malang,Makassar,Tangerang",Full-time,3000000.0,4200000.0,3600000.0,Teknik,Jakarta Raya,0.026315789473684202,0.04384133611691023,0.03608847497089638
Marketing Management - Mandarin Speaking,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Utara,Full-time,9000000.0,18000000.0,13500000.0,Penjualan / Pemasaran,Jakarta Utara,0.1842105263157895,0.3319415448851775,0.26658905704307334
DRAFTER,"Teknik,Mekanikal",Jawa Barat,Full-time,4800000.0,6000000.0,5400000.0,Teknik,Jawa Barat,0.0736842105263158,0.08141962421711899,0.07799767171129221
DESAIN GRAFIS,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jakarta Utara,Full-time,5000000.0,7000000.0,6000000.0,Seni/Media/Komunikasi,Jakarta Utara,0.07894736842105263,0.10229645093945719,0.0919674039580908
"SALES ONLINE ( JDID ,AKULAKU )","Penjualan / Pemasaran,Digital Marketing",Jakarta Utara,Full-time,5000000.0,7000000.0,6000000.0,Penjualan / Pemasaran,Jakarta Utara,0.07894736842105263,0.10229645093945719,0.0919674039580908
Operational Manager,"Penjualan / Pemasaran,E-commerce",Jakarta Selatan,Full-time,10000000.0,13000000.0,11500000.0,Penjualan / Pemasaran,Jakarta Selatan,0.21052631578947367,0.22755741127348642,0.220023282887078
Mandarin Translator HSK 6,"Lainnya,Jurnalis/Editor",Bandung,Full-time,10000000.0,20000000.0,15000000.0,Lainnya,Bandung,0.21052631578947367,0.37369519832985393,0.30151338766006985
MARKETING COMMUNICATION,"Seni/Media/Komunikasi,Hubungan Masyarakat",Jakarta Raya,Full-time,5000000.0,7000000.0,6000000.0,Seni/Media/Komunikasi,Jakarta Raya,0.07894736842105263,0.10229645093945719,0.0919674039580908
Senior Ship Chartering,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Surabaya,Full-time,5000000.0,10000000.0,7500000.0,Penjualan / Pemasaran,Surabaya,0.07894736842105263,0.16492693110647183,0.12689173457508732
PROJECT ARCHITECT,"Bangunan/Konstruksi,Arsitek/Desain Interior",Jakarta Selatan,Full-time,5000000.0,10000000.0,7500000.0,Bangunan/Konstruksi,Jakarta Selatan,0.07894736842105263,0.16492693110647183,0.12689173457508732
INVENTORY SPECIALIST IN SPAREPART,"Manufaktur,Pembelian/Manajemen Material",Pontianak,Full-time,6000000.0,8400000.0,7200000.0,Manufaktur,Pontianak,0.10526315789473684,0.1315240083507307,0.11990686845168799
Karyawan testing aplikasi ponsel/ pekerja testing,"Lainnya,Lainnya/Kategori tidak tersedia","Aceh,Bali,Bangka Belitung,Banten,Bengkulu,Gorontalo,Jakarta Raya,Jambi,Jawa Barat,Jawa Tengah",Part-time,4500000.0,6300000.0,5400000.0,Lainnya,Aceh,0.06578947368421054,0.08768267223382045,0.07799767171129221
Supervisor Pajak,"Akuntansi / Keuangan,Audit Pajak",Jakarta Barat,Full-time,4500000.0,6300000.0,5400000.0,Akuntansi / Keuangan,Jakarta Barat,0.06578947368421054,0.08768267223382045,0.07799767171129221
Head of CCS - TRAINER (excellent in public speaking education),"Pendidikan/Pelatihan,Pelatihan Pengembangan",Bangka Belitung,Full-time,4000000.0,5000000.0,4500000.0,Pendidikan/Pelatihan,Bangka Belitung,0.052631578947368425,0.0605427974947808,0.057043073341094284
Sales canvas,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Barat,Full-time,3500000.0,4900000.0,4200000.0,Penjualan / Pemasaran,Jakarta Barat,0.03947368421052632,0.05845511482254697,0.05005820721769499
Manager Operasional dan Marketing,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Timur,Full-time,5500000.0,7700000.0,6600000.0,Penjualan / Pemasaran,Jakarta Timur,0.09210526315789475,0.11691022964509395,0.1059371362048894
EVENT OFFICER,"Lainnya,Lainnya/Kategori tidak tersedia",Jakarta Barat,Full-time,4450000.0,6230000.0,5340000.0,Lainnya,Jakarta Barat,0.06447368421052632,0.08622129436325679,0.07660069848661233
Marketing public relation,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Tangerang,Full-time,5000000.0,10000000.0,7500000.0,Penjualan / Pemasaran,Tangerang,0.07894736842105263,0.16492693110647183,0.12689173457508732
Supervisor Accounting,"Akuntansi / Keuangan,Audit Pajak",Karawang,Full-time,6000000.0,7000000.0,6500000.0,Akuntansi / Keuangan,Karawang,0.10526315789473684,0.10229645093945719,0.10360884749708962
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Salatiga,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Salatiga,0.026315789473684202,0.06471816283924844,0.047729918509895226
DRIVER TAKSI,"Lainnya,Pekerjaan Umum","Jakarta Barat,Bekasi",Full-time,3210000.0,4749000.0,3979500.0,Lainnya,Jakarta Barat,0.03184210526315789,0.055302713987473905,0.0449243306169965
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Pontianak,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Pontianak,0.026315789473684202,0.06471816283924844,0.047729918509895226
Payroll Specialist Staff,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Jakarta Timur,Full-time,4500000.0,5500000.0,5000000.0,Sumber Daya Manusia/Personalia,Jakarta Timur,0.06578947368421054,0.07098121085594991,0.06868451688009314
Pramuniaga Alat Kesehatan,"Layanan Kesehatan,Farmasi",Semarang,Contract,2810025.0,3000000.0,2905012.5,Layanan Kesehatan,Semarang,0.021316447368421053,0.01878914405010438,0.019907159487776487
Apoteker,"Layanan Kesehatan,Farmasi",Jawa Tengah,Contract,3500000.0,4500000.0,4000000.0,Layanan Kesehatan,Jawa Tengah,0.03947368421052632,0.0501043841336117,0.04540162980209545
Asisten Apoteker,"Layanan Kesehatan,Farmasi",Semarang,Contract,2810025.0,3200000.0,3005012.5,Layanan Kesehatan,Semarang,0.021316447368421053,0.02296450939457203,0.022235448195576248
Marketing Kain,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Bandung,Contract,3500000.0,5000000.0,4250000.0,Penjualan / Pemasaran,Bandung,0.03947368421052632,0.0605427974947808,0.051222351571594875
Kepala TU sekolah dan Pesantren,"Lainnya,Lainnya/Kategori tidak tersedia",Bogor,Full-time,5000000.0,6500000.0,5750000.0,Lainnya,Bogor,0.07894736842105263,0.09185803757828809,0.0861466821885914
Account Executive,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Raya,Full-time,7000000.0,12000000.0,9500000.0,Penjualan / Pemasaran,Jakarta Raya,0.13157894736842107,0.2066805845511482,0.17345750873108265
"Japanese Bilingual Senior Analyst - N1/N2 Manila, Philippines","Pelayanan,Layanan Pelanggan",Mandaluyong,Full-time,19800000.0,28900000.0,24350000.0,Pelayanan,Mandaluyong,0.468421052631579,0.559498956158664,0.519208381839348
"Japanese Bilingual Reports Analyst (MS Excel Macro)- N1/N2 Manila, Philippines","Pelayanan,Layanan Pelanggan",Mandaluyong,Full-time,17400000.0,28900000.0,23150000.0,Pelayanan,Mandaluyong,0.4052631578947369,0.559498956158664,0.4912689173457509
"Japanese Bilingual Associate (Entry Level) - N1/N2 Manila, Philippines","Pelayanan,Layanan Pelanggan",Mandaluyong,Full-time,17400000.0,26000000.0,21700000.0,Pelayanan,Mandaluyong,0.4052631578947369,0.4989561586638831,0.4575087310826543
"Japanese Bilingual Associate Manager - N1/N2 Manila, Philippines","Pelayanan,Layanan Pelanggan",Mandaluyong,Full-time,29000000.0,39900000.0,34450000.0,Pelayanan,Mandaluyong,0.7105263157894737,0.7891440501043842,0.7543655413271244
"Japanese Bilingual- Experienced Employees, no JLPT required- Manila, Philippines","Pelayanan,Layanan Pelanggan",Mandaluyong,Full-time,19800000.0,33500000.0,26650000.0,Pelayanan,Mandaluyong,0.468421052631579,0.6555323590814197,0.5727590221187426
Android developer Work From Home Arrangement Jakarta Raya,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,6000000.0,12000000.0,9000000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.10526315789473684,0.2066805845511482,0.1618160651920838
Admin Online,"Pelayanan,Layanan Pelanggan","Jakarta Raya,Batam,Pangkal Pinang,Jawa Barat,Jawa Tengah,Jawa Timur,Tangerang",Full-time,4000000.0,5600000.0,4800000.0,Pelayanan,Jakarta Raya,0.052631578947368425,0.07306889352818371,0.06402793946449359
Mandarin Translator (Penerjemah Mandarin),"Lainnya,Jurnalis/Editor",Semarang,Full-time,5000000.0,10000000.0,7500000.0,Lainnya,Semarang,0.07894736842105263,0.16492693110647183,0.12689173457508732
Business Development Head (Sales Function),"Penjualan / Pemasaran,E-commerce",Jakarta Barat,Contract,5000000.0,6000000.0,5500000.0,Penjualan / Pemasaran,Jakarta Barat,0.07894736842105263,0.08141962421711899,0.08032596041909196
"Web Developer - Alam Sutera, Tangerang Selatan","Penjualan / Pemasaran,E-commerce",Tangerang,Full-time,5000000.0,6000000.0,5500000.0,Penjualan / Pemasaran,Tangerang,0.07894736842105263,0.08141962421711899,0.08032596041909196
SEO (Search Engine Optimization),"Penjualan / Pemasaran,Digital Marketing",Jakarta Barat,Full-time,5000000.0,7000000.0,6000000.0,Penjualan / Pemasaran,Jakarta Barat,0.07894736842105263,0.10229645093945719,0.0919674039580908
Asistant Manager / Penerjemah / Translator Mandarin,"Lainnya,Lainnya/Kategori tidak tersedia",Sulawesi Tengah,Full-time,8000000.0,12000000.0,10000000.0,Lainnya,Sulawesi Tengah,0.15789473684210528,0.2066805845511482,0.1850989522700815
"FINANCIAL SPECIALIST (SINTANG SAMPIT, KOTABARU)","Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Banjarmasin,Kotabaru,Palangkaraya",Full-time,4500000.0,6000000.0,5250000.0,Penjualan / Pemasaran,Banjarmasin,0.06578947368421054,0.08141962421711899,0.07450523864959255
Sales ERP Software,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Utara,Full-time,5000000.0,10000000.0,7500000.0,Penjualan / Pemasaran,Jakarta Utara,0.07894736842105263,0.16492693110647183,0.12689173457508732
IT Account Manager (Managed Service),"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT",Jakarta Barat,Full-time,7000000.0,14000000.0,10500000.0,Penjualan / Pemasaran,Jakarta Barat,0.13157894736842107,0.24843423799582462,0.19674039580908032
Junior Visual Animator,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jakarta Raya,Full-time,5000000.0,6000000.0,5500000.0,Seni/Media/Komunikasi,Jakarta Raya,0.07894736842105263,0.08141962421711899,0.08032596041909196
Unity Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Pusat,Full-time,6000000.0,7000000.0,6500000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.10526315789473684,0.10229645093945719,0.10360884749708962
Marketing Ecommerce - Mandarin Speaker,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Tangerang,Full-time,8000000.0,10000000.0,9000000.0,Penjualan / Pemasaran,Tangerang,0.15789473684210528,0.16492693110647183,0.1618160651920838
Musyrif Diniyah Teacher,"Pendidikan/Pelatihan,Pendidikan",Bogor,Full-time,3500000.0,4500000.0,4000000.0,Pendidikan/Pelatihan,Bogor,0.03947368421052632,0.0501043841336117,0.04540162980209545
Senior Front End Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,12000000.0,20000000.0,16000000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.2631578947368421,0.37369519832985393,0.3247962747380675
Android Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,6000000.0,8000000.0,7000000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.10526315789473684,0.1231732776617954,0.11525029103608847
Marketing,"Penjualan / Pemasaran,Merchandising",Jakarta Utara,Full-time,4000000.0,5600000.0,4800000.0,Penjualan / Pemasaran,Jakarta Utara,0.052631578947368425,0.07306889352818371,0.06402793946449359
Mandarin Teachers,"Pendidikan/Pelatihan,Pendidikan",Sumatera Utara,Full-time,5000000.0,8000000.0,6500000.0,Pendidikan/Pelatihan,Sumatera Utara,0.07894736842105263,0.1231732776617954,0.10360884749708962
Pengrajin Tukang Kayu,"Manufaktur,Pemeliharaan",Tangerang,Full-time,2500000.0,5000000.0,3750000.0,Manufaktur,Tangerang,0.013157894736842098,0.0605427974947808,0.03958090803259604
Penerjemah Mandarin,"Lainnya,Jurnalis/Editor",Jakarta Pusat,Full-time,5000000.0,7000000.0,6000000.0,Lainnya,Jakarta Pusat,0.07894736842105263,0.10229645093945719,0.0919674039580908
IT Programmer (AITP),"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Jakarta Raya,Full-time,7000000.0,7500000.0,7250000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.13157894736842107,0.11273486430062629,0.12107101280558788
Seo Specialist,"Penjualan / Pemasaran,Digital Marketing",Jakarta Pusat,Full-time,4000000.0,6000000.0,5000000.0,Penjualan / Pemasaran,Jakarta Pusat,0.052631578947368425,0.08141962421711899,0.06868451688009314
Java Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,8500000.0,17000000.0,12750000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.17105263157894737,0.3110647181628393,0.24912689173457508
IT Specialist,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Jakarta Pusat,Contract,8000000.0,9000000.0,8500000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.15789473684210528,0.14405010438413363,0.15017462165308498
Beauty Advisor (Pluit Village),"Penjualan / Pemasaran,Penjualan Ritel",Jakarta Utara,Full-time,4000000.0,5600000.0,4800000.0,Penjualan / Pemasaran,Jakarta Utara,0.052631578947368425,0.07306889352818371,0.06402793946449359
Translator Mandarin,"Teknik,Teknik Elektro",Cirebon,Contract,8000000.0,10000000.0,9000000.0,Teknik,Cirebon,0.15789473684210528,0.16492693110647183,0.1618160651920838
DIGITAL MARKETING,"Penjualan / Pemasaran,Digital Marketing",Tangerang,Full-time,3600000.0,5040000.0,4320000.0,Penjualan / Pemasaran,Tangerang,0.042105263157894736,0.061377870563674324,0.05285215366705471
Product Manager,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Barat,Full-time,8000000.0,10000000.0,9000000.0,Penjualan / Pemasaran,Jakarta Barat,0.15789473684210528,0.16492693110647183,0.1618160651920838
DIGITAL MARKETING,"Penjualan / Pemasaran,Digital Marketing",Tangerang,Full-time,3600000.0,5040000.0,4320000.0,Penjualan / Pemasaran,Tangerang,0.042105263157894736,0.061377870563674324,0.05285215366705471
Sales HW4 Denpasar,"Penjualan / Pemasaran,Penjualan - Korporasi",Denpasar,Full-time,2000000.0,2800000.0,2400000.0,Penjualan / Pemasaran,Denpasar,0.0,0.014613778705636744,0.008149010477299184
Quality Assurance Engineer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Yogyakarta,Full-time,3000000.0,4500000.0,3750000.0,Komputer/Teknologi Informasi,Yogyakarta,0.026315789473684202,0.0501043841336117,0.03958090803259604
Senior Associate,"Akuntansi / Keuangan,Audit Pajak",Jakarta Raya,Full-time,5500000.0,7000000.0,6250000.0,Akuntansi / Keuangan,Jakarta Raya,0.09210526315789475,0.10229645093945719,0.09778812572759021
Marketing Executive,"Penjualan / Pemasaran,Penjualan Ritel",Bali,Full-time,2500000.0,3000000.0,2750000.0,Penjualan / Pemasaran,Bali,0.013157894736842098,0.01878914405010438,0.016298020954598362
Tyre Operation Manager bahasa mandarin,"Penjualan / Pemasaran,Penjualan Ritel",Jakarta Selatan,Full-time,5000000.0,8000000.0,6500000.0,Penjualan / Pemasaran,Jakarta Selatan,0.07894736842105263,0.1231732776617954,0.10360884749708962
Product Sourcing Agent,"Manufaktur,Pembelian/Manajemen Material",Cikupa,Full-time,3000000.0,4200000.0,3600000.0,Manufaktur,Cikupa,0.026315789473684202,0.04384133611691023,0.03608847497089638
Ad Ops Specialist,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,8000000.0,11200000.0,9600000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.15789473684210528,0.18997912317327767,0.17578579743888242
SALES KOREAN SPEAKER,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Raya,Full-time,7500000.0,10500000.0,9000000.0,Penjualan / Pemasaran,Jakarta Raya,0.14473684210526316,0.17536534446764093,0.1618160651920838
Sales Executive - Marketing Penempatan Jawa Tengah (Solo),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Surakarta,Full-time,2000000.0,3000000.0,2500000.0,Penjualan / Pemasaran,Surakarta,0.0,0.01878914405010438,0.010477299185098952
Senior Tester (Infrastructure),"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Jakarta Selatan,Contract,15000000.0,20000000.0,17500000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.34210526315789475,0.37369519832985393,0.359720605355064
Dosen Program Studi Akuntansi Perpajakan,"Pendidikan/Pelatihan,Pendidikan",Nusa Tenggara Timur,Full-time,4500000.0,5500000.0,5000000.0,Pendidikan/Pelatihan,Nusa Tenggara Timur,0.06578947368421054,0.07098121085594991,0.06868451688009314
Sales BDO (Business Development Officer),"Penjualan / Pemasaran,Telesales/Telemarketing",Denpasar,Full-time,2500000.0,3000000.0,2750000.0,Penjualan / Pemasaran,Denpasar,0.013157894736842098,0.01878914405010438,0.016298020954598362
Sales Project,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Barat,Full-time,4500000.0,6500000.0,5500000.0,Penjualan / Pemasaran,Jakarta Barat,0.06578947368421054,0.09185803757828809,0.08032596041909196
Business Analyst (Odoo),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,7000000.0,9000000.0,8000000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.13157894736842107,0.14405010438413363,0.13853317811408614
Business Development Officer,"Penjualan / Pemasaran,Telesales/Telemarketing",Banten,Full-time,3900000.0,4500000.0,4200000.0,Penjualan / Pemasaran,Banten,0.049999999999999996,0.0501043841336117,0.05005820721769499
IT Trainer,"Pendidikan/Pelatihan,Pelatihan Pengembangan",Yogyakarta,Full-time,3000000.0,5000000.0,4000000.0,Pendidikan/Pelatihan,Yogyakarta,0.026315789473684202,0.0605427974947808,0.04540162980209545
Sales Marketing,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Pusat,Full-time,3300000.0,4290000.0,3795000.0,Penjualan / Pemasaran,Jakarta Pusat,0.034210526315789476,0.04572025052192067,0.04062863795110593
项目翻译管理员 Site Mandarin Translator ) - Mandarin lisan tulisan,"Lainnya,Jurnalis/Editor","Sulawesi Tengah,Halmahera",Contract,9000000.0,12000000.0,10500000.0,Lainnya,Sulawesi Tengah,0.1842105263157895,0.2066805845511482,0.19674039580908032
Staff Maintenance,"Manufaktur,Pemeliharaan",Cirebon,Full-time,2700000.0,3510000.0,3105000.0,Manufaktur,Cirebon,0.018421052631578942,0.029436325678496876,0.024563445867287544
WEB ANDROID PROGRAMMER,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,5000000.0,10000000.0,7500000.0,Komputer/Teknologi Informasi,Surabaya,0.07894736842105263,0.16492693110647183,0.12689173457508732
Mobile Apps Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,6000000.0,12000000.0,9000000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.10526315789473684,0.2066805845511482,0.1618160651920838
SALES,"Penjualan / Pemasaran,Penjualan Ritel",Malang,Full-time,3000000.0,3500000.0,3250000.0,Penjualan / Pemasaran,Malang,0.026315789473684202,0.029227557411273482,0.027939464493597195
Flutter Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Pusat,Contract,7000000.0,13000000.0,10000000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.13157894736842107,0.22755741127348642,0.1850989522700815
ERP Consultant,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Utara,Full-time,5000000.0,8000000.0,6500000.0,Komputer/Teknologi Informasi,Jakarta Utara,0.07894736842105263,0.1231732776617954,0.10360884749708962
Senior Software Developer (Backend),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,10000000.0,15000000.0,12500000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.21052631578947367,0.26931106471816285,0.24330616996507565
PHP Full Stack Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Barat,Contract,6000000.0,12000000.0,9000000.0,Komputer/Teknologi Informasi,Jakarta Barat,0.10526315789473684,0.2066805845511482,0.1618160651920838
Java Programmer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Contract,5000000.0,10000000.0,7500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.07894736842105263,0.16492693110647183,0.12689173457508732
IT QA Autimation (Selenium),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Pusat,Full-time,5500000.0,8500000.0,7000000.0,Komputer/Teknologi Informasi,Jakarta Pusat,0.09210526315789475,0.13361169102296452,0.11525029103608847
Backend Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,5500000.0,7000000.0,6250000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.09210526315789475,0.10229645093945719,0.09778812572759021
INSTRUKTUR DIGITAL MARKETING,"Penjualan / Pemasaran,Digital Marketing",Jakarta Raya,Full-time,4000000.0,4500000.0,4250000.0,Penjualan / Pemasaran,Jakarta Raya,0.052631578947368425,0.0501043841336117,0.051222351571594875
Web Front End Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,4300000.0,6020000.0,5160000.0,Komputer/Teknologi Informasi,Surabaya,0.060526315789473685,0.08183716075156575,0.07240977881257274
SOFTWARE QUALITY ASSURANCE,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,5000000.0,7000000.0,6000000.0,Komputer/Teknologi Informasi,Surabaya,0.07894736842105263,0.10229645093945719,0.0919674039580908
Sales Marketing,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Raya,Full-time,3500000.0,4900000.0,4200000.0,Penjualan / Pemasaran,Jakarta Raya,0.03947368421052632,0.05845511482254697,0.05005820721769499
CARE OFFICER,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT",Pontianak,Full-time,2300000.0,2515000.0,2407500.0,Penjualan / Pemasaran,Pontianak,0.00789473684210526,0.008663883089770355,0.008323632130384166
Operational Marketing officer,"Penjualan / Pemasaran,Merchandising",Badung,Full-time,2800000.0,3500000.0,3150000.0,Penjualan / Pemasaran,Badung,0.02105263157894737,0.029227557411273482,0.025611175785797434
Sales Executive,"Penjualan / Pemasaran,Penjualan Ritel",Paser,Full-time,3000000.0,5200000.0,4100000.0,Penjualan / Pemasaran,Paser,0.026315789473684202,0.06471816283924844,0.047729918509895226
Senior Java Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,15000000.0,20000000.0,17500000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.34210526315789475,0.37369519832985393,0.359720605355064
Nurse (Cibubur Junction),"Layanan Kesehatan,Praktisi/Asisten Medis",Jakarta Timur,Full-time,2800000.0,3920000.0,3360000.0,Layanan Kesehatan,Jakarta Timur,0.02105263157894737,0.03799582463465554,0.03050058207217695
Beautician ( Cibubur Junction),"Pelayanan,Perawatan Pribadi",Jakarta Timur,Full-time,2800000.0,3920000.0,3360000.0,Pelayanan,Jakarta Timur,0.02105263157894737,0.03799582463465554,0.03050058207217695
Senior Software Engineer (Manage Service),"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Utara,Full-time,15000000.0,25000000.0,20000000.0,Komputer/Teknologi Informasi,Jakarta Utara,0.34210526315789475,0.47807933194154495,0.4179278230500582
Senior Software Engineer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Utara,Full-time,20000000.0,30000000.0,25000000.0,Komputer/Teknologi Informasi,Jakarta Utara,0.47368421052631576,0.5824634655532359,0.5343422584400465
IT Engineer,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Jakarta Selatan,Full-time,4500000.0,6000000.0,5250000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.06578947368421054,0.08141962421711899,0.07450523864959255
Mandarin Speaker,"Pelayanan,Logistik/Rantai Pasokan",Jakarta Utara,Full-time,6000000.0,8000000.0,7000000.0,Pelayanan,Jakarta Utara,0.10526315789473684,0.1231732776617954,0.11525029103608847
Golang Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,8000000.0,15000000.0,11500000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.15789473684210528,0.26931106471816285,0.220023282887078
React Js Developer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Selatan,Full-time,8000000.0,15000000.0,11500000.0,Komputer/Teknologi Informasi,Jakarta Selatan,0.15789473684210528,0.26931106471816285,0.220023282887078
Motion Graphic Designer Animator,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Jakarta Timur,Full-time,6000000.0,7000000.0,6500000.0,Seni/Media/Komunikasi,Jakarta Timur,0.10526315789473684,0.10229645093945719,0.10360884749708962
Full Stack Programmer,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Surabaya,Full-time,3000000.0,6000000.0,4500000.0,Komputer/Teknologi Informasi,Surabaya,0.026315789473684202,0.08141962421711899,0.057043073341094284
STRUCTURAL PRODUCT DESIGN ENGINEER,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",Yogyakarta,Full-time,3000000.0,4200000.0,3600000.0,Bangunan/Konstruksi,Yogyakarta,0.026315789473684202,0.04384133611691023,0.03608847497089638
Account Manager,"Penjualan / Pemasaran,Penjualan - Korporasi",Jakarta Raya,Full-time,6500000.0,9100000.0,7800000.0,Penjualan / Pemasaran,Jakarta Raya,0.11842105263157895,0.14613778705636743,0.13387660069848661
ASISTEN RUMAH TANGGA,"Lainnya,Pekerjaan Umum",Jakarta Utara,Full-time,2000000.0,2800000.0,2400000.0,Lainnya,Jakarta Utara,0.0,0.014613778705636744,0.008149010477299184
IT Sales Executive,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT",Jakarta Barat,Full-time,5000000.0,8000000.0,6500000.0,Penjualan / Pemasaran,Jakarta Barat,0.07894736842105263,0.1231732776617954,0.10360884749708962
Business Development,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Jakarta Selatan,Full-time,6000000.0,9000000.0,7500000.0,Penjualan / Pemasaran,Jakarta Selatan,0.10526315789473684,0.14405010438413363,0.12689173457508732
SAP FICO Consultant,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Jakarta Raya,Full-time,8000000.0,10400000.0,9200000.0,Komputer/Teknologi Informasi,Jakarta Raya,0.15789473684210528,0.1732776617954071,0.16647264260768335
